kind,gray,vdata,t_h,only,i_nA,vg
sens,중계조,3.6,300,T4,121.7171,2.67648
sens,중계조,3.6,300,T5,121.4786,2.676421
sens,중계조,3.6,300,T6,121.65100000000001,2.676625
truth,중계조,3.6,1000,,105.5865,2.084205
cards,중계조,3.6,1000,,281.9316,1.630798
law,중계조,3.6,1000,,281.91049999999996,1.630876
sens,중계조,3.6,1000,T1,105.7751,2.084968
sens,중계조,3.6,1000,T2,121.7193,2.676474
sens,중계조,3.6,1000,T3,121.9997,2.675577
sens,중계조,3.6,1000,T4,121.7167,2.676482
sens,중계조,3.6,1000,T5,121.27900000000001,2.676375
sens,중계조,3.6,1000,T6,121.5922,2.676754
truth,중계조,3.6,3000,,100.2226,1.877739
cards,중계조,3.6,3000,,260.1505,1.453148
law,중계조,3.6,3000,,263.8804,1.469947
sens,중계조,3.6,3000,T1,100.517,1.878723
sens,중계조,3.6,3000,T2,121.72149999999999,2.676466
sens,중계조,3.6,3000,T3,122.09929999999999,2.675259
sens,중계조,3.6,3000,T4,121.71860000000001,2.676476
sens,중계조,3.6,3000,T5,121.0598,2.676325
sens,중계조,3.6,3000,T6,121.5094,2.676934
truth,저계조,4.1,0,,25.03876,3.112851
cards,저계조,4.1,0,,182.1219,2.545321
law,저계조,4.1,0,,182.13219999999998,2.545291
sens,저계조,4.1,0,T1,25.03876,3.112851
sens,저계조,4.1,0,T2,25.03876,3.112851
sens,저계조,4.1,0,T3,25.03876,3.112851
sens,저계조,4.1,0,T4,25.03876,3.112851
sens,저계조,4.1,0,T5,25.03876,3.112851
sens,저계조,4.1,0,T6,25.03876,3.112851
truth,저계조,4.1,10,,24.04886,3.011271
cards,저계조,4.1,10,,174.77009999999999,2.45336
law,저계조,4.1,10,,174.567,2.45284
sens,저계조,4.1,10,T1,24.03376,3.011421
sens,저계조,4.1,10,T2,25.03859,3.112853
sens,저계조,4.1,10,T3,25.0576,3.112707
sens,저계조,4.1,10,T4,25.03863,3.112852
sens,저계조,4.1,10,T5,25.03509,3.11285
sens,저계조,4.1,10,T6,25.03764,3.112858
truth,저계조,4.1,30,,23.43718,2.948025
cards,저계조,4.1,30,,169.57260000000002,2.397442
law,저계조,4.1,30,,169.9127,2.397481
sens,저계조,4.1,30,T1,23.412580000000002,2.948273
sens,저계조,4.1,30,T2,25.03858,3.112853
sens,저계조,4.1,30,T3,25.07063,3.112607
sens,저계조,4.1,30,T4,25.03872,3.112852
sens,저계조,4.1,30,T5,25.03143,3.112856
sens,저계조,4.1,30,T6,25.03651,3.112865
truth,저계조,4.1,100,,22.42935,2.843418
cards,저계조,4.1,100,,162.19379999999998,2.303327
law,저계조,4.1,100,,162.0096,2.30402
sens,저계조,4.1,100,T1,22.3921,2.843816
sens,저계조,4.1,100,T2,25.03849,3.112853
sens,저계조,4.1,100,T3,25.09114,3.112451
sens,저계조,4.1,100,T4,25.038259999999998,3.112855
sens,저계조,4.1,100,T5,25.02689,3.112847
sens,저계조,4.1,100,T6,25.035600000000002,3.112868
truth,저계조,4.1,300,,21.14325,2.709618
cards,저계조,4.1,300,,151.6271,2.182441
law,저계조,4.1,300,,151.6626,2.181964
sens,저계조,4.1,300,T1,21.091359999999998,2.710214
sens,저계조,4.1,300,T2,25.03898,3.11285
sens,저계조,4.1,300,T3,25.11752,3.112249
sens,저계조,4.1,300,T4,25.03795,3.112858
sens,저계조,4.1,300,T5,25.017529999999997,3.112845
sens,저계조,4.1,300,T6,25.03284,3.112884
truth,저계조,4.1,1000,,19.36051,2.519966
cards,저계조,4.1,1000,,138.286,2.011917
law,저계조,4.1,1000,,138.2467,2.01215
sens,저계조,4.1,1000,T1,19.29258,2.520839
sens,저계조,4.1,1000,T2,25.03834,3.112855
sens,저계조,4.1,1000,T3,25.15472,3.111965
sens,저계조,4.1,1000,T4,25.03832,3.112855
sens,저계조,4.1,1000,T5,25.00128,3.112829
sens,저계조,4.1,1000,T6,25.027710000000003,3.112912
truth,저계조,4.1,3000,,17.606309999999997,2.313221
cards,저계조,4.1,3000,,124.2956,1.833874
law,저계조,4.1,3000,,126.47970000000001,1.850565
sens,저계조,4.1,3000,T1,17.52193,2.314391
sens,저계조,4.1,3000,T2,25.03964,3.112845
sens,저계조,4.1,3000,T3,25.19542,3.111654
sens,저계조,4.1,3000,T4,25.03865,3.112852
sens,저계조,4.1,3000,T5,24.98208,3.112821
sens,저계조,4.1,3000,T6,25.019560000000002,3.112958
