circuit,start,timing,KH,TAUH_s,age_h,VOBS_V,frame,i_nA
6T1C,black,real_60Hz,0.05,0.001,1000,5,4,228.018194
6T1C,black,real_60Hz,0.05,0.001,1000,5,5,228.021692
6T1C,black,real_60Hz,0.05,0.001,1000,5,6,228.02143
6T1C,black,real_60Hz,0.05,0.001,1000,5,7,228.017963
6T1C,black,real_60Hz,0.05,0.001,1000,5,8,228.019539
6T1C,white,real_60Hz,0.05,0.001,1000,5,1,238.068059
6T1C,white,real_60Hz,0.05,0.001,1000,5,2,228.517746
6T1C,white,real_60Hz,0.05,0.001,1000,5,3,228.047606
6T1C,white,real_60Hz,0.05,0.001,1000,5,4,228.02396
6T1C,white,real_60Hz,0.05,0.001,1000,5,5,228.021568
6T1C,white,real_60Hz,0.05,0.001,1000,5,6,228.019186
6T1C,white,real_60Hz,0.05,0.001,1000,5,7,228.019426
6T1C,white,real_60Hz,0.05,0.001,1000,5,8,228.020392
6T1C,black,real_60Hz,0.05,0.001,3000,5,1,210.108914
6T1C,black,real_60Hz,0.05,0.001,3000,5,2,217.949376
6T1C,black,real_60Hz,0.05,0.001,3000,5,3,218.345339
6T1C,black,real_60Hz,0.05,0.001,3000,5,4,218.367332
6T1C,black,real_60Hz,0.05,0.001,3000,5,5,218.367046
6T1C,black,real_60Hz,0.05,0.001,3000,5,6,218.367638
6T1C,black,real_60Hz,0.05,0.001,3000,5,7,218.364491
6T1C,black,real_60Hz,0.05,0.001,3000,5,8,218.367085
6T1C,white,real_60Hz,0.05,0.001,3000,5,1,228.139956
6T1C,white,real_60Hz,0.05,0.001,3000,5,2,218.851449
6T1C,white,real_60Hz,0.05,0.001,3000,5,3,218.391294
6T1C,white,real_60Hz,0.05,0.001,3000,5,4,218.368234
6T1C,white,real_60Hz,0.05,0.001,3000,5,5,218.367068
6T1C,white,real_60Hz,0.05,0.001,3000,5,6,218.363515
6T1C,white,real_60Hz,0.05,0.001,3000,5,7,218.363152
6T1C,white,real_60Hz,0.05,0.001,3000,5,8,218.364396
6T1C,black,real_60Hz,0.05,0.01,0,5,1,251.536375
6T1C,black,real_60Hz,0.05,0.01,0,5,2,254.789476
6T1C,black,real_60Hz,0.05,0.01,0,5,3,255.527491
6T1C,black,real_60Hz,0.05,0.01,0,5,4,255.693774
6T1C,black,real_60Hz,0.05,0.01,0,5,5,255.731921
6T1C,black,real_60Hz,0.05,0.01,0,5,6,255.743667
6T1C,black,real_60Hz,0.05,0.01,0,5,7,255.743417
6T1C,black,real_60Hz,0.05,0.01,0,5,8,255.745678
6T1C,white,real_60Hz,0.05,0.01,0,5,1,260.969335
6T1C,white,real_60Hz,0.05,0.01,0,5,2,256.925656
6T1C,white,real_60Hz,0.05,0.01,0,5,3,256.010921
6T1C,white,real_60Hz,0.05,0.01,0,5,4,255.806934
6T1C,white,real_60Hz,0.05,0.01,0,5,5,255.75991
6T1C,white,real_60Hz,0.05,0.01,0,5,6,255.746596
6T1C,white,real_60Hz,0.05,0.01,0,5,7,255.743737
6T1C,white,real_60Hz,0.05,0.01,0,5,8,255.744464
6T1C,black,real_60Hz,0.1,0.001,0,5,1,235.304907
6T1C,black,real_60Hz,0.1,0.001,0,5,2,251.554221
6T1C,black,real_60Hz,0.1,0.001,0,5,3,253.205446
6T1C,black,real_60Hz,0.1,0.001,0,5,4,253.372846
6T1C,black,real_60Hz,0.1,0.001,0,5,5,253.389313
6T1C,black,real_60Hz,0.1,0.001,0,5,6,253.38842
6T1C,black,real_60Hz,0.1,0.001,0,5,7,253.390019
6T1C,black,real_60Hz,0.1,0.001,0,5,8,253.390775
6T1C,white,real_60Hz,0.1,0.001,0,5,1,274.717346
6T1C,white,real_60Hz,0.1,0.001,0,5,2,255.476085
6T1C,white,real_60Hz,0.1,0.001,0,5,3,253.600807
6T1C,white,real_60Hz,0.1,0.001,0,5,4,253.410875
6T1C,white,real_60Hz,0.1,0.001,0,5,5,253.390507
6T1C,white,real_60Hz,0.1,0.001,0,5,6,253.390109
6T1C,white,real_60Hz,0.1,0.001,0,5,7,253.390091
6T1C,white,real_60Hz,0.1,0.001,0,5,8,253.388505
8T1C,black,accelerated_1ms,0.05,0.001,0,5,1,245.041812
8T1C,black,accelerated_1ms,0.05,0.001,0,5,2,245.401537
8T1C,black,accelerated_1ms,0.05,0.001,0,5,3,245.553856
8T1C,black,accelerated_1ms,0.05,0.001,0,5,4,245.648437
8T1C,black,accelerated_1ms,0.05,0.001,0,5,5,245.671409
8T1C,black,accelerated_1ms,0.05,0.001,0,5,6,245.642146
8T1C,black,accelerated_1ms,0.05,0.001,0,5,7,245.645834
8T1C,black,accelerated_1ms,0.05,0.001,0,5,8,245.647289
8T1C,white,accelerated_1ms,0.05,0.001,0,5,1,246.882475
8T1C,white,accelerated_1ms,0.05,0.001,0,5,2,246.134644
8T1C,white,accelerated_1ms,0.05,0.001,0,5,3,245.86775
8T1C,white,accelerated_1ms,0.05,0.001,0,5,4,245.743983
8T1C,white,accelerated_1ms,0.05,0.001,0,5,5,245.713203
8T1C,white,accelerated_1ms,0.05,0.001,0,5,6,245.696126
8T1C,white,accelerated_1ms,0.05,0.001,0,5,7,245.689224
8T1C,white,accelerated_1ms,0.05,0.001,0,5,8,245.686818
8T1C,black,real_60Hz,0,0.001,0,5,1,258.57049
8T1C,black,real_60Hz,0,0.001,0,5,2,258.572151
8T1C,black,real_60Hz,0,0.001,0,5,3,258.570558
8T1C,black,real_60Hz,0,0.001,0,5,4,258.571268
8T1C,black,real_60Hz,0,0.001,0,5,5,258.570211
8T1C,black,real_60Hz,0,0.001,0,5,6,258.573041
8T1C,black,real_60Hz,0,0.001,0,5,7,258.569423
8T1C,black,real_60Hz,0,0.001,0,5,8,258.570337
8T1C,white,real_60Hz,0,0.001,0,5,1,258.572265
8T1C,white,real_60Hz,0,0.001,0,5,2,258.572743
8T1C,white,real_60Hz,0,0.001,0,5,3,258.571555
8T1C,white,real_60Hz,0,0.001,0,5,4,258.570745
8T1C,white,real_60Hz,0,0.001,0,5,5,258.570553
8T1C,white,real_60Hz,0,0.001,0,5,6,258.573167
8T1C,white,real_60Hz,0,0.001,0,5,7,258.570476
8T1C,white,real_60Hz,0,0.001,0,5,8,258.572558
8T1C,black,real_60Hz,0.02,0.001,0,5,1,260.636057
8T1C,black,real_60Hz,0.02,0.001,0,5,2,263.434474
8T1C,black,real_60Hz,0.02,0.001,0,5,3,263.477344
8T1C,black,real_60Hz,0.02,0.001,0,5,4,263.474292
8T1C,black,real_60Hz,0.02,0.001,0,5,5,263.475672
8T1C,black,real_60Hz,0.02,0.001,0,5,6,263.47884
8T1C,black,real_60Hz,0.02,0.001,0,5,7,263.473602
8T1C,black,real_60Hz,0.02,0.001,0,5,8,263.475516
8T1C,white,real_60Hz,0.02,0.001,0,5,1,266.89952
8T1C,white,real_60Hz,0.02,0.001,0,5,2,263.530389
8T1C,white,real_60Hz,0.02,0.001,0,5,3,263.478758
8T1C,white,real_60Hz,0.02,0.001,0,5,4,263.47611
8T1C,white,real_60Hz,0.02,0.001,0,5,5,263.477968
8T1C,white,real_60Hz,0.02,0.001,0,5,6,263.479868
8T1C,white,real_60Hz,0.02,0.001,0,5,7,263.477339
8T1C,white,real_60Hz,0.02,0.001,0,5,8,263.475443
8T1C,black,real_60Hz,0.05,0.0001,0,5,1,300.857879
8T1C,black,real_60Hz,0.05,0.0001,0,5,2,302.181566
8T1C,black,real_60Hz,0.05,0.0001,0,5,3,302.19145
8T1C,black,real_60Hz,0.05,0.0001,0,5,4,302.190782
8T1C,black,real_60Hz,0.05,0.0001,0,5,5,302.191024
8T1C,black,real_60Hz,0.05,0.0001,0,5,6,302.19053
8T1C,black,real_60Hz,0.05,0.0001,0,5,7,302.190914
8T1C,black,real_60Hz,0.05,0.0001,0,5,8,302.191211
8T1C,white,real_60Hz,0.05,0.0001,0,5,1,303.674982
8T1C,white,real_60Hz,0.05,0.0001,0,5,2,302.200776
8T1C,white,real_60Hz,0.05,0.0001,0,5,3,302.189699
8T1C,white,real_60Hz,0.05,0.0001,0,5,4,302.190073
8T1C,white,real_60Hz,0.05,0.0001,0,5,5,302.190745
8T1C,white,real_60Hz,0.05,0.0001,0,5,6,302.191022
8T1C,white,real_60Hz,0.05,0.0001,0,5,7,302.191079
8T1C,white,real_60Hz,0.05,0.0001,0,5,8,302.190531
8T1C,black,real_60Hz,0.05,0.001,0,4,1,260.815805
8T1C,black,real_60Hz,0.05,0.001,0,4,2,267.642322
8T1C,black,real_60Hz,0.05,0.001,0,4,3,267.901485
8T1C,black,real_60Hz,0.05,0.001,0,4,4,267.911768
8T1C,black,real_60Hz,0.05,0.001,0,4,5,267.912089
8T1C,black,real_60Hz,0.05,0.001,0,4,6,267.913646
8T1C,black,real_60Hz,0.05,0.001,0,4,7,267.910201
8T1C,black,real_60Hz,0.05,0.001,0,4,8,267.91223
8T1C,white,real_60Hz,0.05,0.001,0,4,1,276.524552
8T1C,white,real_60Hz,0.05,0.001,0,4,2,268.237842
8T1C,white,real_60Hz,0.05,0.001,0,4,3,267.924017
8T1C,white,real_60Hz,0.05,0.001,0,4,4,267.913025
8T1C,white,real_60Hz,0.05,0.001,0,4,5,267.912393
8T1C,white,real_60Hz,0.05,0.001,0,4,6,267.912014
8T1C,white,real_60Hz,0.05,0.001,0,4,7,267.913447
8T1C,white,real_60Hz,0.05,0.001,0,4,8,267.91372
8T1C,black,real_60Hz,0.05,0.001,0,5,1,263.379769
8T1C,black,real_60Hz,0.05,0.001,0,5,2,270.242052
8T1C,black,real_60Hz,0.05,0.001,0,5,3,270.507329
8T1C,black,real_60Hz,0.05,0.001,0,5,4,270.513456
8T1C,black,real_60Hz,0.05,0.001,0,5,5,270.511781
8T1C,black,real_60Hz,0.05,0.001,0,5,6,270.517415
8T1C,black,real_60Hz,0.05,0.001,0,5,7,270.512023
8T1C,black,real_60Hz,0.05,0.001,0,5,8,270.517384
8T1C,white,real_60Hz,0.05,0.001,0,5,1,279.165821
8T1C,white,real_60Hz,0.05,0.001,0,5,2,270.838257
8T1C,white,real_60Hz,0.05,0.001,0,5,3,270.523935
8T1C,white,real_60Hz,0.05,0.001,0,5,4,270.511755
8T1C,white,real_60Hz,0.05,0.001,0,5,5,270.515817
8T1C,white,real_60Hz,0.05,0.001,0,5,6,270.515277
8T1C,white,real_60Hz,0.05,0.001,0,5,7,270.513696
8T1C,white,real_60Hz,0.05,0.001,0,5,8,270.514611
8T1C,black,real_60Hz,0.05,0.001,0,6,1,265.958969
8T1C,black,real_60Hz,0.05,0.001,0,6,2,272.860621
8T1C,black,real_60Hz,0.05,0.001,0,6,3,273.124957
8T1C,black,real_60Hz,0.05,0.001,0,6,4,273.135343
8T1C,black,real_60Hz,0.05,0.001,0,6,5,273.132697
8T1C,black,real_60Hz,0.05,0.001,0,6,6,273.131884
8T1C,black,real_60Hz,0.05,0.001,0,6,7,273.131069
8T1C,black,real_60Hz,0.05,0.001,0,6,8,273.130739
8T1C,white,real_60Hz,0.05,0.001,0,6,1,281.820516
8T1C,white,real_60Hz,0.05,0.001,0,6,2,273.457506
8T1C,white,real_60Hz,0.05,0.001,0,6,3,273.145779
8T1C,white,real_60Hz,0.05,0.001,0,6,4,273.131674
8T1C,white,real_60Hz,0.05,0.001,0,6,5,273.133276
8T1C,white,real_60Hz,0.05,0.001,0,6,6,273.133514
8T1C,white,real_60Hz,0.05,0.001,0,6,7,273.135172
8T1C,white,real_60Hz,0.05,0.001,0,6,8,273.131918
8T1C,black,real_60Hz,0.05,0.001,1000,5,1,233.156871
8T1C,black,real_60Hz,0.05,0.001,1000,5,2,239.478123
8T1C,black,real_60Hz,0.05,0.001,1000,5,3,239.714582
8T1C,black,real_60Hz,0.05,0.001,1000,5,4,239.727217
8T1C,black,real_60Hz,0.05,0.001,1000,5,5,239.724899
8T1C,black,real_60Hz,0.05,0.001,1000,5,6,239.726671
8T1C,black,real_60Hz,0.05,0.001,1000,5,7,239.72603
8T1C,black,real_60Hz,0.05,0.001,1000,5,8,239.725348
8T1C,white,real_60Hz,0.05,0.001,1000,5,1,247.679418
8T1C,white,real_60Hz,0.05,0.001,1000,5,2,240.019008
8T1C,white,real_60Hz,0.05,0.001,1000,5,3,239.736727
8T1C,white,real_60Hz,0.05,0.001,1000,5,4,239.724119
8T1C,white,real_60Hz,0.05,0.001,1000,5,5,239.724701
8T1C,white,real_60Hz,0.05,0.001,1000,5,6,239.724791
8T1C,white,real_60Hz,0.05,0.001,1000,5,7,239.726965
8T1C,white,real_60Hz,0.05,0.001,1000,5,8,239.725534
8T1C,black,real_60Hz,0.05,0.001,3000,5,1,222.855922
8T1C,black,real_60Hz,0.05,0.001,3000,5,2,228.981084
8T1C,black,real_60Hz,0.05,0.001,3000,5,3,229.211995
8T1C,black,real_60Hz,0.05,0.001,3000,5,4,229.219474
8T1C,black,real_60Hz,0.05,0.001,3000,5,5,229.218026
8T1C,black,real_60Hz,0.05,0.001,3000,5,6,229.221191
8T1C,black,real_60Hz,0.05,0.001,3000,5,7,229.213773
8T1C,black,real_60Hz,0.05,0.001,3000,5,8,229.215155
8T1C,white,real_60Hz,0.05,0.001,3000,5,1,236.910096
8T1C,white,real_60Hz,0.05,0.001,3000,5,2,229.502489
8T1C,white,real_60Hz,0.05,0.001,3000,5,3,229.22545
8T1C,white,real_60Hz,0.05,0.001,3000,5,4,229.216825
8T1C,white,real_60Hz,0.05,0.001,3000,5,5,229.21435
8T1C,white,real_60Hz,0.05,0.001,3000,5,6,229.219908
8T1C,white,real_60Hz,0.05,0.001,3000,5,7,229.214447
8T1C,white,real_60Hz,0.05,0.001,3000,5,8,229.214581
8T1C,black,real_60Hz,0.05,0.01,0,5,1,252.741454
8T1C,black,real_60Hz,0.05,0.01,0,5,2,255.879551
8T1C,black,real_60Hz,0.05,0.01,0,5,3,256.587093
8T1C,black,real_60Hz,0.05,0.01,0,5,4,256.747981
8T1C,black,real_60Hz,0.05,0.01,0,5,5,256.783875
8T1C,black,real_60Hz,0.05,0.01,0,5,6,256.79303
8T1C,black,real_60Hz,0.05,0.01,0,5,7,256.793147
8T1C,black,real_60Hz,0.05,0.01,0,5,8,256.793945
8T1C,white,real_60Hz,0.05,0.01,0,5,1,261.86701
8T1C,white,real_60Hz,0.05,0.01,0,5,2,257.934078
8T1C,white,real_60Hz,0.05,0.01,0,5,3,257.052289
8T1C,white,real_60Hz,0.05,0.01,0,5,4,256.853567
8T1C,white,real_60Hz,0.05,0.01,0,5,5,256.808552
8T1C,white,real_60Hz,0.05,0.01,0,5,6,256.799218
8T1C,white,real_60Hz,0.05,0.01,0,5,7,256.794389
8T1C,white,real_60Hz,0.05,0.01,0,5,8,256.794235
8T1C,black,real_60Hz,0.1,0.001,0,5,1,266.921732
8T1C,black,real_60Hz,0.1,0.001,0,5,2,280.146896
8T1C,black,real_60Hz,0.1,0.001,0,5,3,281.155402
8T1C,black,real_60Hz,0.1,0.001,0,5,4,281.231508
8T1C,black,real_60Hz,0.1,0.001,0,5,5,281.242569
8T1C,black,real_60Hz,0.1,0.001,0,5,6,281.238193
8T1C,black,real_60Hz,0.1,0.001,0,5,7,281.238639
8T1C,black,real_60Hz,0.1,0.001,0,5,8,281.244484
8T1C,white,real_60Hz,0.1,0.001,0,5,1,298.765347
8T1C,white,real_60Hz,0.1,0.001,0,5,2,282.541411
8T1C,white,real_60Hz,0.1,0.001,0,5,3,281.334147
8T1C,white,real_60Hz,0.1,0.001,0,5,4,281.246776
8T1C,white,real_60Hz,0.1,0.001,0,5,5,281.241215
8T1C,white,real_60Hz,0.1,0.001,0,5,6,281.239129
8T1C,white,real_60Hz,0.1,0.001,0,5,7,281.238937
8T1C,white,real_60Hz,0.1,0.001,0,5,8,281.238095
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,1,258.500422
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,2,258.502002
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,3,258.504277
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,4,258.501332
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,5,258.503898
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,6,258.500915
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,7,258.503205
8T1C_no_T7,black,real_60Hz,0,0.001,0,5,8,258.503357
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,1,258.503465
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,2,258.503253
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,3,258.504508
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,4,258.502642
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,5,258.504048
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,6,258.502872
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,7,258.503937
8T1C_no_T7,white,real_60Hz,0,0.001,0,5,8,258.503421
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,1,260.56994
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,2,263.366739
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,3,263.406673
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,4,263.407068
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,5,263.40693
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,6,263.410192
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,7,263.410248
8T1C_no_T7,black,real_60Hz,0.02,0.001,0,5,8,263.406732
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,1,266.836748
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,2,263.463531
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,3,263.413183
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,4,263.410064
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,5,263.411101
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,6,263.407392
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,7,263.411096
8T1C_no_T7,white,real_60Hz,0.02,0.001,0,5,8,263.407213
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,1,300.814154
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,2,302.13859
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,3,302.147334
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,4,302.146843
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,5,302.147181
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,6,302.148455
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,7,302.146668
8T1C_no_T7,black,real_60Hz,0.05,0.0001,0,5,8,302.147506
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,1,303.630682
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,2,302.157089
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,3,302.147584
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,4,302.146957
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,5,302.146039
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,6,302.147308
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,7,302.146865
8T1C_no_T7,white,real_60Hz,0.05,0.0001,0,5,8,302.147866
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,1,263.315636
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,2,270.175625
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,3,270.440391
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,4,270.446178
